AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.0,0.0,0.0,0.0,0.0,0.0,0.0,PosiciÃ³n No VÃ¡lida
-0.02,0.93,-0.15,-7.38,-8.85,9.27,35.1,Frente
-0.06,0.95,-0.15,-16.0,5.49,0.83,35.13,Frente
-0.21,0.43,0.87,-16.0,5.38,-16.0,35.14,Abajo
-0.16,-0.64,0.8,-16.0,4.09,13.66,35.18,Abajo
-0.21,-0.88,-0.18,-16.0,16.0,6.05,35.2,AtrÃ¡s
-0.32,-0.73,0.76,16.0,11.18,16.0,35.16,AtrÃ¡s
-0.05,0.35,0.94,16.0,-16.0,16.0,35.21,Abajo
0.01,0.94,-0.41,16.0,12.04,-0.29,35.18,Frente
0.14,0.59,-0.63,-16.0,12.45,14.98,35.19,Frente
0.09,0.72,0.1,-16.0,16.0,-16.0,35.22,Frente
-0.04,0.22,0.85,-16.0,16.0,-2.93,35.24,Abajo
-0.25,-1.0,0.64,-16.0,-2.83,-16.0,35.23,AtrÃ¡s
-0.23,-0.82,0.39,16.0,9.86,16.0,35.24,AtrÃ¡s
-0.17,-0.28,0.64,16.0,-16.0,-16.0,35.22,PosiciÃ³n No VÃ¡lida
0.09,0.35,0.86,16.0,-16.0,-16.0,35.23,Abajo
-0.02,0.62,-0.7,16.0,16.0,-5.56,35.24,Frente
-0.05,0.64,0.06,-16.0,16.0,-16.0,35.22,Frente
-0.06,0.41,1.22,16.0,-16.0,16.0,35.25,Abajo
0.48,0.22,0.6,-16.0,-16.0,16.0,35.23,PosiciÃ³n No VÃ¡lida
0.93,-0.14,-0.32,-0.39,-16.0,-5.95,35.21,Derecha
0.56,0.18,0.6,16.0,16.0,-16.0,35.27,Derecha
0.02,0.62,1.22,-16.0,16.0,-16.0,35.25,Abajo
-0.89,-0.02,0.34,-16.0,16.0,-16.0,35.23,Izquierda
-0.77,0.01,-0.48,0.93,16.0,-16.0,35.23,Izquierda
-0.93,0.23,0.03,-16.0,-16.0,16.0,35.27,Izquierda
-0.12,0.57,1.22,16.0,-16.0,5.22,35.27,Abajo
0.78,0.31,0.77,16.0,-16.0,16.0,35.26,Derecha
1.13,0.12,0.01,16.0,-16.0,16.0,35.27,Derecha
0.51,-0.03,-0.29,16.0,16.0,-16.0,35.24,Derecha
0.39,0.28,0.68,-7.12,16.0,-16.0,35.24,PosiciÃ³n No VÃ¡lida
-0.39,0.3,0.73,-16.0,16.0,-16.0,35.23,PosiciÃ³n No VÃ¡lida
-0.9,0.21,-0.21,16.0,16.0,-16.0,35.25,Izquierda
-0.93,0.01,-0.25,-16.0,16.0,-4.54,35.26,Izquierda
-0.64,0.18,0.26,16.0,-16.0,16.0,35.27,Izquierda
-0.01,0.24,1.27,-16.0,-16.0,16.0,35.27,Abajo
0.35,0.2,0.35,-16.0,-16.0,16.0,35.21,PosiciÃ³n No VÃ¡lida
0.92,-0.05,-0.18,7.49,-16.0,16.0,35.22,Derecha
0.9,0.28,1.01,16.0,16.0,-16.0,35.25,Abajo
-0.19,0.38,0.8,-16.0,16.0,-16.0,35.24,Abajo
-0.9,-0.08,0.52,16.0,16.0,-16.0,35.25,Izquierda
-0.8,0.02,-0.5,-10.5,15.55,16.0,35.24,Izquierda
-0.63,0.47,0.41,-16.0,-16.0,15.46,35.22,Izquierda
0.17,-0.09,1.74,-4.28,-16.0,16.0,35.25,Abajo
0.5,-0.07,0.57,-16.0,-16.0,16.0,35.25,PosiciÃ³n No VÃ¡lida
0.8,-0.09,-0.03,-16.0,-16.0,-7.03,35.25,Derecha
0.68,0.12,-0.1,16.0,16.0,-14.34,35.25,Derecha
0.64,-0.02,0.97,16.0,16.0,-16.0,35.25,Abajo
-0.11,0.68,0.72,16.0,-11.11,16.0,35.23,Frente
0.04,0.74,-0.25,16.0,-16.0,16.0,35.24,Frente
0.15,0.75,-0.35,-16.0,16.0,-16.0,35.24,Frente
-0.34,0.27,0.88,-16.0,16.0,-7.32,35.23,Abajo
-0.31,-0.87,0.7,-16.0,16.0,-16.0,35.23,AtrÃ¡s
-0.2,-0.65,-0.27,-16.0,16.0,16.0,35.21,AtrÃ¡s
-0.26,-0.99,0.21,16.0,-16.0,16.0,35.26,AtrÃ¡s
0.08,0.58,0.94,16.0,-16.0,16.0,35.24,Abajo
0.16,0.67,0.37,16.0,-16.0,-16.0,35.26,Frente
-0.06,0.39,-1.13,16.0,7.96,7.07,35.24,PosiciÃ³n No VÃ¡lida
-0.04,0.04,-1.12,-16.0,7.56,-16.0,35.23,PosiciÃ³n No VÃ¡lida
0.07,0.84,0.59,-16.0,16.0,16.0,35.27,Frente
0.01,-0.28,1.05,-16.0,16.0,16.0,35.26,Abajo
-0.24,-1.18,-0.08,-16.0,16.0,-16.0,35.25,AtrÃ¡s
-0.05,-0.96,0.25,16.0,-16.0,-14.05,35.25,AtrÃ¡s
-0.11,-0.59,0.47,16.0,-16.0,-16.0,35.25,AtrÃ¡s
0.24,0.73,0.98,16.0,-16.0,-16.0,35.23,Abajo
0.21,0.19,-0.32,16.0,-16.0,-16.0,35.23,PosiciÃ³n No VÃ¡lida
0.3,1.09,0.09,-16.0,16.0,16.0,35.26,Frente
0.17,0.8,0.9,-16.0,16.0,16.0,35.27,Abajo
0.02,0.04,0.35,-16.0,-16.0,16.0,35.28,PosiciÃ³n No VÃ¡lida
1.88,-0.14,0.81,-16.0,-16.0,16.0,35.24,Abajo
0.7,-0.02,-0.19,-13.93,-16.0,16.0,35.25,Derecha
0.8,0.07,-0.44,16.0,16.0,-16.0,35.22,Derecha
0.8,0.2,0.97,16.0,16.0,-16.0,35.26,Abajo
-0.06,0.59,1.32,6.05,16.0,-1.76,35.26,Abajo
-0.8,0.39,0.47,-6.48,16.0,-16.0,35.25,Izquierda
-0.62,-0.06,-0.35,16.0,16.0,-16.0,35.25,Izquierda
-1.1,-0.02,-0.25,-16.0,-16.0,16.0,35.26,Izquierda
-0.39,0.28,0.41,-16.0,-16.0,16.0,35.25,PosiciÃ³n No VÃ¡lida
0.0,0.13,1.46,7.95,-16.0,-16.0,35.23,Abajo
0.81,0.25,0.42,15.97,-16.0,16.0,35.22,Derecha
0.88,0.02,-0.11,16.0,-16.0,16.0,35.28,Derecha
0.78,0.24,-0.27,16.0,16.0,-16.0,35.25,Derecha
0.59,0.09,0.47,-16.0,16.0,-16.0,35.24,Derecha
-0.58,0.22,1.07,-16.0,16.0,-16.0,35.27,Abajo
-0.87,0.1,0.39,16.0,16.0,-0.59,35.25,Izquierda
-0.62,0.05,0.05,16.0,-16.0,-16.0,35.23,Izquierda
-0.47,0.29,0.79,16.0,-16.0,16.0,35.23,PosiciÃ³n No VÃ¡lida
