AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.0,0.0,0.0,0.0,0.0,0.0,0.0,PosiciÃ³n No VÃ¡lida
0.32,-0.31,1.09,-9.04,16.0,13.76,34.31,Abajo
0.06,0.04,0.99,-11.38,16.0,16.0,34.32,Abajo
-0.02,-0.08,0.97,-4.59,-14.08,-2.15,34.33,Abajo
-0.03,0.01,0.78,16.0,-16.0,-16.0,34.35,PosiciÃ³n No VÃ¡lida
-0.03,0.86,0.17,-16.0,-16.0,16.0,34.38,Frente
0.02,0.68,0.45,-16.0,-16.0,16.0,34.39,Frente
0.07,-0.15,0.94,9.56,16.0,-16.0,34.4,Abajo
0.12,-0.42,0.98,-16.0,0.26,16.0,34.38,Abajo
-0.39,-1.14,0.72,-16.0,16.0,6.06,34.41,AtrÃ¡s
-0.11,-0.61,0.87,16.0,-16.0,-16.0,34.41,Abajo
0.24,0.18,0.98,-16.0,2.52,16.0,34.41,Abajo
0.45,0.35,1.97,-16.0,-16.0,16.0,34.4,Abajo
0.82,0.08,0.29,-16.0,-6.63,16.0,34.41,Derecha
-0.08,-0.17,1.07,-16.0,16.0,10.98,34.41,Abajo
-0.43,0.01,0.64,6.77,16.0,-16.0,34.41,PosiciÃ³n No VÃ¡lida
-1.49,-0.19,0.5,-16.0,16.0,16.0,34.38,Izquierda
-0.74,0.05,0.13,14.0,16.0,-5.17,34.43,Izquierda
-0.75,-0.1,0.53,16.0,-16.0,16.0,34.42,Izquierda
0.27,0.1,1.05,-16.0,12.73,4.93,34.4,Abajo
0.22,1.28,1.53,16.0,16.0,-16.0,34.41,Abajo
0.12,0.57,-0.4,-16.0,-16.0,13.22,34.39,Frente
0.33,0.78,0.75,-16.0,-16.0,16.0,34.42,Frente
0.32,-0.04,1.14,-16.0,16.0,0.83,34.41,Abajo
0.11,-0.25,0.82,9.01,16.0,-12.78,34.42,Abajo
0.31,-0.77,1.15,-16.0,-16.0,16.0,34.42,Abajo
