AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Posicion
0.0,0.0,0.0,0.0,0.0,0.0,0.0,PosiciÃ³n No VÃ¡lida
0.05,-0.08,0.87,-16.0,-3.79,-11.81,32.59,Abajo
0.05,-0.04,0.89,15.55,-9.63,-2.25,32.58,Abajo
0.05,-0.04,0.89,13.09,4.37,-0.98,32.61,Abajo
0.14,0.68,0.72,16.0,-16.0,-16.0,32.62,Frente
0.13,0.67,0.57,16.0,15.32,-16.0,32.64,Frente
0.14,0.77,0.32,-16.0,16.0,16.0,32.64,Frente
-0.02,0.21,0.86,-16.0,16.0,16.0,32.66,Abajo
0.07,-0.15,1.0,-16.0,4.3,-10.67,32.68,Abajo
-0.2,-0.62,0.35,-16.0,16.0,-16.0,32.66,AtrÃ¡s
-0.19,-0.93,-0.03,-14.17,-7.22,-5.9,32.69,AtrÃ¡s
0.04,-0.21,1.0,16.0,-16.0,-16.0,32.69,Abajo
-0.07,0.28,0.78,-10.37,10.43,-2.44,32.68,PosiciÃ³n No VÃ¡lida
0.31,0.36,1.52,-16.0,-16.0,16.0,32.68,Abajo
0.67,-0.19,0.21,-11.76,-16.0,-9.37,32.67,Derecha
0.6,-0.04,0.3,16.0,16.0,16.0,32.67,Derecha
0.02,-0.09,0.88,16.0,-16.0,-16.0,32.68,Abajo
-0.12,-0.08,0.76,16.0,-16.0,-4.05,32.69,PosiciÃ³n No VÃ¡lida
-0.34,-0.25,1.03,7.8,16.0,-16.0,32.7,Abajo
-0.88,-0.17,0.24,16.0,-16.0,16.0,32.69,Izquierda
-0.55,-0.03,1.18,16.0,-16.0,16.0,32.66,Abajo
-0.16,-0.14,1.04,-16.0,16.0,10.34,32.7,Abajo
0.0,0.39,1.15,16.0,-16.0,-16.0,32.71,Abajo
0.15,0.78,0.33,16.0,-13.31,-10.44,32.73,Frente
0.23,0.52,0.99,-16.0,16.0,16.0,32.71,Abajo
0.14,-0.04,0.93,16.0,16.0,3.32,32.73,Abajo
-0.16,-0.39,0.84,-16.0,16.0,16.0,32.72,Abajo
-0.27,-0.88,0.22,-16.0,16.0,-3.42,32.71,AtrÃ¡s
0.47,-0.39,1.61,16.0,-16.0,-16.0,32.71,Abajo
0.08,0.14,0.7,-16.0,16.0,16.0,32.7,PosiciÃ³n No VÃ¡lida
0.4,0.02,1.46,16.0,-16.0,16.0,32.73,Abajo
0.7,-0.13,0.25,6.33,-16.0,1.85,32.71,Derecha
0.06,-0.09,1.0,16.0,16.0,16.0,32.7,Abajo
-0.1,-0.01,0.86,16.0,11.22,7.41,32.67,Abajo
-0.56,0.05,0.66,16.0,16.0,16.0,32.68,Izquierda
-0.39,-0.18,0.68,16.0,16.0,-16.0,32.7,PosiciÃ³n No VÃ¡lida
-0.16,-0.08,0.79,-16.0,-16.0,16.0,32.69,PosiciÃ³n No VÃ¡lida
0.35,-0.19,0.99,15.88,3.69,-16.0,32.69,Abajo
0.14,-0.08,0.93,-16.0,16.0,16.0,32.69,Abajo
0.4,0.54,0.86,16.0,16.0,-16.0,32.71,Abajo
0.09,0.59,0.53,-16.0,13.14,16.0,32.71,Frente
0.01,0.05,0.6,-16.0,16.0,-0.39,32.71,PosiciÃ³n No VÃ¡lida
-0.18,-0.02,0.88,16.0,16.0,-8.29,32.72,Abajo
0.35,-0.13,0.2,-16.0,-16.0,16.0,32.71,PosiciÃ³n No VÃ¡lida
0.78,-0.15,0.44,9.11,16.0,5.8,32.71,Derecha
0.17,-0.23,1.05,6.09,16.0,-16.0,32.69,Abajo
-0.11,-0.12,0.83,16.0,-16.0,-13.12,32.72,Abajo
0.22,0.01,1.12,-16.0,16.0,16.0,32.73,Abajo
-0.28,-0.78,0.18,16.0,16.0,-13.95,32.73,AtrÃ¡s
0.34,-0.5,1.46,16.0,-16.0,-16.0,32.71,Abajo
